"TaxonID","domain","phylum","class","order","family","genus"
"OTU23","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"OTU530","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"OTU31","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","unclassified_Rhodocyclaceae"
"OTU371","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"OTU436","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"OTU1056","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"OTU1038","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Tepidimonas"
"OTU1304","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae Sedis XI","Anaerococcus"
"OTU258","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae 1","Brevibacillus"
"OTU127","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"OTU92","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Rothia"
"OTU27","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"OTU8","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium"
"OTU2021","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Janibacter"
"OTU374","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
"OTU304","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus"
"OTU32","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"OTU29","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"OTU1752","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"OTU28","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","unclassified_Alcaligenaceae"
"OTU329","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia"
"OTU113","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","unclassified_Microbacteriaceae"
"OTU1697","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella"
"OTU1703","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella"
"OTU90","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"OTU138","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","unclassified_Enterobacteriaceae"
"OTU10","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
"OTU863","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"OTU1424","Bacteria","Chloroflexi","Thermomicrobia","Sphaerobacterales","Sphaerobacteraceae","unclassified_Sphaerobacteraceae"
"OTU21","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"OTU230","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Cloacibacterium"
"OTU142","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"OTU1744","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"OTU248","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"OTU11","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Propionibacteriaceae","Propionibacterium"
"OTU489","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
"OTU77","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","unclassified_Caulobacteraceae"
"OTU22","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium"
"OTU323","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","unclassified_Actinomycetales","unclassified_Actinomycetales"
"OTU707","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"OTU117","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae Sedis XI","Gemella"
"OTU288","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella"
